Venue,City,Date,Match Type,Teams,Name,Runs,Balls Faced,Balls Bowled,Wickets Taken,Runs Conceded,Overs Bowled,Batting Strike Rate,Bowling Strike Rate,Bowling Economy Rate
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,JO Holder,0,0,30,3,42,5.0,0,10.0,8.4
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Babar Azam,22,33,0,0,0,0.0,66.66666666666667,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,AD Russell,0,0,18,2,4,3.0,0,9.0,1.3333333333333333
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Haris Sohail,8,11,0,0,0,0.0,72.72727272727273,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,CR Brathwaite,0,0,24,0,14,4.0,0,0,3.5
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Sarfraz Ahmed,8,12,0,0,0,0.0,66.66666666666667,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,O Thomas,0,0,34,4,27,5.4,0,8.5,4.764705882352941
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Mohammad Hafeez,16,24,0,0,0,0.0,66.66666666666667,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Imad Wasim,1,3,0,0,0,0.0,33.333333333333336,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Shadab Khan,0,1,0,0,0,0.0,0.0,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Hasan Ali,1,4,24,0,39,4.0,25.0,0,9.75
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Wahab Riaz,18,11,22,0,40,3.4,163.63636363636363,0,10.90909090909091
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,Mohammad Amir,3,6,36,3,26,6.0,50.0,12.0,4.333333333333333
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,CH Gayle,50,34,0,0,0,0.0,147.05882352941177,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,SD Hope,11,17,0,0,0,0.0,64.70588235294117,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,DM Bravo,0,4,0,0,0,0.0,0.0,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,N Pooran,34,19,0,0,0,0.0,178.94736842105263,0,0
Trent Bridge,Nottingham,2019-05-31,ODI,Pakistan v West Indies,SO Hetmyer,7,8,0,0,0,0.0,87.5,0,0
Sophia Gardens,Cardiff,2019-06-01,ODI,New Zealand v Sri Lanka,HDRL Thirimanne,4,2,0,0,0,0.0,200.0,0,0
