Name,Full Name,Match Type,Batting Average,Batting Strike Rate,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
AK Perera,Angelo Perera,T20,15.0,91.8,0,0,0
M Bhanuka,M Bhanuka,ODI,0,0,0,0,0
M Bhanuka,M Bhanuka,T20,0,0,0,0,0
PADLR Sandakan,Lakshan Rangika,ODI,3.9,35.2,60.6,56.5,6.44
PADLR Sandakan,Lakshan Rangika,T20,0,16.7,0,0,6.00
XM Marshall,Xavier Marshall,ODI,15.8,68.7,0,0,4.00
XM Marshall,Xavier Marshall,T20,0,0,0,0,0
JS Malhotra,Jaskaran Malhotra,ODI,14.2,78.1,0,0,0
JS Malhotra,Jaskaran Malhotra,T20,0,0,0,0,0
Steven Ryan Taylor,Steven Taylor,ODI,19.2,57.5,66.0,63.5,6.24
Steven Ryan Taylor,Steven Taylor,T20,15.0,105.6,0,0,10.00
MD Patel,Monank Patel,ODI,25.2,66.0,0,0,0
MD Patel,Monank Patel,T20,0,0,0,0,0
Aaron Jones,Aaron Jones,ODI,41.8,57.2,0,0,0
Aaron Jones,Aaron Jones,T20,0,0,0,0,0
A Nao,Alei Nao,ODI,45.5,108.3,33.6,41.1,4.91
A Nao,Alei Nao,T20,0,0,0,0,0
J Kila,Jason Kila,ODI,13.5,85.7,22.5,33.2,4.07
J Kila,Jason Kila,T20,0,0,0,0,0
TK Patel,Timil Kaushik Patel,ODI,3.0,23.1,28.3,50.0,3.40
TK Patel,Timil Kaushik Patel,T20,0,0,30.0,18.0,10.00
NK Patel,Niraj Patel,ODI,3.2,27.1,10.1,10.3,5.92
NK Patel,Niraj Patel,T20,30.2,101.7,0,0,0
K Gore,Karima Gore,ODI,22.8,62.3,24.9,30.3,4.92
K Gore,Karima Gore,T20,0,0,0,0,0
EH Hutchinson,Elmore Hutchinson,ODI,24.0,135.8,0,0,7.57
EH Hutchinson,Elmore Hutchinson,T20,0,0,0,0,0
J Theron,Rusty Theron,ODI,2.5,71.4,16.2,17.2,5.62
J Theron,Rusty Theron,T20,8.7,110.1,25.6,19.4,7.92
SN Netravalkar,Saurabh Netravalkar,ODI,8.5,51.5,111.0,162.0,4.11
SN Netravalkar,Saurabh Netravalkar,T20,0,0,0,0,0
SJ Baard,Stephan Baard,ODI,32.8,68.6,0,0,0
SJ Baard,Stephan Baard,T20,0,0,0,0,0
JP Kotze,JP Kotze,ODI,85.5,109.6,0,0,0
JP Kotze,JP Kotze,T20,0,0,0,0,0
K Birkenstock,Karl Birkenstock,ODI,2.5,34.5,0,0,0
K Birkenstock,Karl Birkenstock,T20,0,0,0,0,0
Jasdeep Singh,Jessy Singh,ODI,3.7,39.3,14.9,15.0,5.95
Jasdeep Singh,Jessy Singh,T20,0,0,0,0,0
MG Erasmus,Gerhard Erasmus,ODI,32.5,75.1,0,0,4.33
MG Erasmus,Gerhard Erasmus,T20,0,0,0,0,0
CG Williams,Craig Williams,ODI,38.0,53.5,110.0,132.0,5.00
CG Williams,Craig Williams,T20,0,0,0,0,0
C Viljoen,Christi Viljoen,ODI,0,0,0,0,0
C Viljoen,Christi Viljoen,T20,0,0,0,0,0
JJ Smit,JJ Smit,ODI,12.0,87.3,35.7,42.0,5.10
JJ Smit,JJ Smit,T20,0,0,0,0,9.83
ZE Green,Zane Green,ODI,14.5,71.6,0,0,0
ZE Green,Zane Green,T20,0,0,0,0,0
JN Frylinck,Jan Frylinck,ODI,51.3,127.3,17.2,22.3,4.61
JN Frylinck,Jan Frylinck,T20,0,0,0,0,0
Z Groenewald,Zhivago Groenewald,ODI,0,100.0,9.4,14.8,3.81
Z Groenewald,Zhivago Groenewald,T20,0,0,0,0,0
BM Scholtz,Bernard Scholtz,ODI,6.0,120.0,11.6,24.0,2.91
BM Scholtz,Bernard Scholtz,T20,0,0,0,0,0
HN Ya France,Pikky Ya France,ODI,24.0,300.0,22.8,36.0,3.80
HN Ya France,Pikky Ya France,T20,0,0,0,0,0
R Hekure,Riley Hekure,ODI,2.0,25.0,16.0,30.0,3.20
R Hekure,Riley Hekure,T20,0,0,0,0,0
SK Atai,Simon Atai,ODI,24.0,42.1,0,0,0
SK Atai,Simon Atai,T20,0,0,0,0,0
