Name,Full Name,Match Type,Batting Average,Batting Strike Rate,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
C de Grandhomme,Colin de Grandhomme,T20,24.9,151.6,68.9,42.1,9.83
BMAJ Mendis,Jeevan Mendis,ODI,18.7,82.7,43.0,50.1,5.15
BMAJ Mendis,Jeevan Mendis,T20,11.1,104.6,19.1,15.7,7.30
NLTC Perera,Thisara Perera,ODI,19.6,111.8,32.5,33.4,5.84
NLTC Perera,Thisara Perera,T20,19.1,140.4,25.3,17.7,8.59
JDS Neesham,Jimmy Neesham,ODI,31.2,99.0,30.5,29.9,6.12
JDS Neesham,Jimmy Neesham,T20,27.0,132.5,30.2,19.1,9.46
MJ Santner,Mitchell Santner,ODI,26.4,88.0,35.9,44.0,4.89
MJ Santner,Mitchell Santner,T20,19.6,120.1,24.3,21.3,6.85
I Udana,Isuru Udana,ODI,17.1,94.5,52.6,53.2,5.92
I Udana,Isuru Udana,T20,13.9,98.0,24.8,20.5,7.28
RAS Lakmal,Suranga Lakmal,ODI,9.7,60.0,32.6,35.7,5.47
RAS Lakmal,Suranga Lakmal,T20,0,0,0,0,0
SL Malinga,Lasith Malinga,ODI,7.0,74.5,28.8,32.1,5.37
SL Malinga,Lasith Malinga,T20,9.3,113.9,19.3,16.4,7.05
MJ Guptill,Martin Guptill,ODI,42.1,87.5,24.5,27.2,5.39
MJ Guptill,Martin Guptill,T20,27.9,124.0,0,0,8.00
C Munro,Colin Munro,ODI,25.4,104.7,68.7,78.9,5.23
C Munro,Colin Munro,T20,28.4,137.4,33.2,22.1,9.01
Mohammad Shahzad,Mohammad Shahzad,ODI,33.1,88.3,25.9,26.7,5.82
Mohammad Shahzad,Mohammad Shahzad,T20,31.0,123.5,0,0,0
MA Starc,Mitchell Starc,ODI,12.4,89.5,20.9,24.9,5.02
MA Starc,Mitchell Starc,T20,12.2,95.7,18.0,14.4,7.48
Rahmat Shah,Rahmat Shah,ODI,35.9,70.4,36.1,37.6,5.76
Rahmat Shah,Rahmat Shah,T20,0,0,0,0,0
Hazratullah,Hazratullah,ODI,0,0,0,0,0
Hazratullah,Hazratullah,T20,0,0,0,0,0
PJ Cummins,Pat Cummins,ODI,10.6,71.3,27.1,31.6,5.15
